ra,dec,g
299.998932,-1.00156222,23.950169
299.99699023,-0.99926895,23.318951
300.00291154,-0.9972624,16.399271
300.00428261,-0.99917344,25.410149
299.99740577,-1.00442938,20.26952
300.00302894,-1.00307775,21.542328
299.99487867,-1.00175013,16.427845
299.99987003,-1.00623651,23.967403
299.99859739,-1.00571382,22.14876
299.99700814,-0.99442217,21.83235
299.99917428,-0.99402556,22.06876
299.99924997,-0.99370159,25.621082
299.99497561,-0.99724776,20.957827
300.00184993,-1.00612224,21.434093
299.9929009,-1.00051411,19.030664
299.99335683,-1.00246306,22.47336
300.00781446,-0.99978855,18.392921
300.00658184,-0.9944873,25.114437
300.00521769,-1.00516771,22.511938
300.0040355,-0.994928,25.123446
300.00627983,-1.00260462,24.822405
300.00668359,-1.00289028,26.898077
299.99643633,-1.00607458,18.686029
300.00326307,-1.00785954,21.481798
299.99092254,-0.99914213,22.857895
299.99479987,-0.99372485,24.116642
299.99672833,-0.99341239,22.79084
299.99861201,-0.99173712,26.369883
299.99764949,-0.99303,24.637285
299.99352691,-0.99654355,22.641718
300.0112284,-0.99595749,11.699071
300.00867788,-0.99646422,16.296629
300.011331,-1.00343016,21.651878
300.00721079,-0.98836133,20.283762
300.00812783,-1.00446604,20.999859
300.008109,-0.99314262,27.869471
300.01218038,-0.99991722,21.650566
300.01272452,-1.00252157,22.833126
299.99597409,-0.9874432,19.022665
299.99819517,-0.98821317,21.174971
299.99538159,-0.98882625,21.907862
300.00154847,-0.98644352,23.502232
300.0074343,-1.00800911,18.353792
300.00511932,-1.00917484,18.58857
300.00770071,-1.0093083,22.069574
300.00588742,-1.01002151,21.585598
299.9865468,-0.99802707,21.942715
299.9905911,-0.99752546,19.371027
299.99403826,-1.00956017,19.574034
299.99985779,-1.01058241,19.502834
299.99939543,-1.00994542,22.714941
299.98859103,-1.00434127,21.636215
299.98748632,-1.00401995,22.336262
299.99292177,-0.99414908,20.208473
299.9932071,-0.98900829,21.515417
299.99192546,-0.9892821,21.912828
299.99257279,-0.99075827,24.225874
299.99190609,-0.99270108,23.554585
299.9965955,-1.00891951,22.005249
300.00331787,-1.01135195,21.386951
300.00416398,-1.0123752,22.615786
299.99080477,-1.00715312,26.663219
300.00213307,-1.01767046,21.996059
299.9982079,-1.01896693,24.10404
300.0142112,-0.99551407,19.489666
300.00865614,-0.98868132,19.389145
300.01447246,-0.99808597,22.62993
300.01518521,-0.99859689,19.445641
300.01315711,-0.99329955,17.620342
300.0128969,-0.99526896,25.114384
300.01527411,-0.99097159,25.114338
300.01810057,-0.99613156,23.372684
300.00852324,-0.98661463,25.200584
300.01013563,-0.98922924,25.048374
300.01720519,-0.99591521,26.317774
300.01720335,-0.99713674,25.159401
300.01435538,-0.98772214,25.950193
300.01209326,-0.98975401,25.438814
299.98651406,-1.01346239,19.243633
299.99199391,-1.01527361,18.804577
299.9936016,-1.01696458,19.368462
299.99811739,-0.98275882,18.328056
299.99623133,-0.98546948,19.279238
299.99470462,-0.98500536,20.437632
299.99478683,-0.98545187,19.830143
299.99736336,-0.98429486,21.333954
299.99719327,-0.98183457,24.061127
300.00196711,-0.98459521,17.402046
300.00576174,-0.98172123,17.932634
300.00058007,-0.9807714,19.905586
300.00479638,-0.98462663,20.07918
300.00183195,-0.98117254,22.226713
300.00629329,-0.98369024,23.167381
299.98476028,-0.99782937,19.657803
299.9843679,-0.99997461,22.096329
299.98488761,-0.99709448,21.431189
299.98535643,-0.9957692,21.684641
299.98815647,-1.00800866,20.117155
299.98896294,-1.01054402,19.83461
299.98876962,-1.00987596,23.762566
299.98794322,-1.0065404,23.970238
299.99169337,-0.98607281,19.353914
299.98922447,-0.98632664,21.803017
299.9913934,-0.98494317,22.864742
299.9904059,-0.98682159,22.427864
300.00652117,-1.01320263,19.44982
300.00824299,-1.01621074,20.000721
300.00952178,-1.01455223,22.054668
300.01898388,-1.00129308,23.718197
299.98182473,-1.00102027,21.104633
299.98299192,-1.00179129,22.81661
299.98552827,-1.0055779,21.03875
299.98525319,-1.00621688,21.208546
299.98520751,-1.00424118,26.033216
299.9808132,-0.99885766,23.031055
299.9831782,-1.00792048,22.193611
299.98431098,-1.01081807,22.602798
299.98522116,-1.00249748,23.488527
300.00856236,-0.98283077,23.253622
300.01333414,-1.00845678,23.818926
